age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous_contacts,previous_campaign_outcome,employment_variation_rate,consumer_price_index,consumer_confidence_index,euribor_3m_rate,number_of_employees,subscribed,contacted_before
50,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,152,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
39,blue-collar,married,basic.4y,no,no,no,cellular,aug,wed,975,2,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,no
36,white-collar,single,university.degree,no,yes,no,cellular,may,wed,177,3,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,no
44,self-employed,married,university.degree,no,yes,no,cellular,nov,wed,87,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,no
36,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,335,3,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,no
44,self-employed,single,professional.course,no,yes,no,cellular,may,mon,922,4,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,1,no
59,not-working,divorced,university.degree,no,no,no,telephone,jul,fri,87,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
36,skilled-labor,married,high.school,no,no,yes,telephone,may,tue,1590,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
38,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,fri,70,4,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,no
32,skilled-labor,single,professional.course,no,no,no,telephone,may,fri,700,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
37,not-working,single,university.degree,no,yes,no,cellular,jul,thu,47,1,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
45,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,311,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,no
41,white-collar,divorced,high.school,no,yes,no,cellular,may,mon,63,5,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,no
51,skilled-labor,married,professional.course,no,no,yes,telephone,jun,mon,147,1,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,no
34,skilled-labor,divorced,university.degree,no,no,no,cellular,jul,thu,91,10,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
35,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,79,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
36,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,227,2,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,no
31,skilled-labor,single,university.degree,no,no,no,telephone,jul,mon,211,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
57,white-collar,married,university.degree,no,no,no,cellular,nov,fri,127,3,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,no
25,blue-collar,single,basic.4y,no,no,no,telephone,may,fri,196,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,no
22,not-working,single,high.school,no,yes,no,cellular,may,tue,272,1,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,1,no
58,not-working,married,high.school,no,yes,no,cellular,nov,thu,125,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,no
52,self-employed,divorced,high.school,no,no,no,telephone,may,mon,314,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
36,white-collar,married,university.degree,no,yes,yes,cellular,oct,mon,78,1,1,failure,-3.4,92.431,-26.9,0.743,5017.5,1,no
61,blue-collar,married,high.school,no,no,no,cellular,oct,wed,108,1,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,0,no
30,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,56,2,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
34,skilled-labor,married,basic.9y,no,yes,yes,cellular,may,mon,142,4,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,no
31,white-collar,single,university.degree,no,no,no,telephone,nov,thu,96,5,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,no
35,skilled-labor,married,high.school,no,no,no,cellular,may,fri,301,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,no
30,blue-collar,married,university.degree,no,yes,no,cellular,aug,thu,111,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,no
22,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,102,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,no
38,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,159,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,no
91,not-working,married,university.degree,no,no,yes,cellular,sep,wed,223,2,0,nonexistent,-3.4,92.379,-29.8,0.781,5017.5,0,no
30,skilled-labor,married,basic.6y,no,yes,no,cellular,jul,mon,129,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
24,blue-collar,single,basic.6y,no,no,no,telephone,jul,wed,115,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,no
32,white-collar,married,university.degree,no,no,yes,telephone,may,tue,175,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
39,white-collar,married,university.degree,no,yes,no,telephone,may,fri,238,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,no
33,white-collar,married,university.degree,no,no,no,telephone,may,fri,266,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
36,skilled-labor,married,university.degree,no,yes,no,cellular,may,mon,97,2,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,no
28,skilled-labor,married,high.school,no,no,no,cellular,jul,thu,15,14,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
56,blue-collar,married,basic.4y,no,no,no,cellular,apr,fri,153,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,no
28,white-collar,single,high.school,no,no,yes,cellular,jul,fri,63,12,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
35,skilled-labor,married,professional.course,no,yes,no,telephone,may,mon,832,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
36,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,fri,34,4,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,no
56,white-collar,married,university.degree,no,no,no,telephone,jun,wed,79,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,no
34,white-collar,married,basic.9y,no,no,no,telephone,may,tue,175,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
52,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,36,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
44,blue-collar,single,high.school,no,yes,no,telephone,may,thu,182,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
40,white-collar,single,high.school,no,no,no,cellular,jul,wed,282,2,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,no
56,skilled-labor,single,high.school,no,no,yes,cellular,aug,tue,555,3,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,1,no
42,skilled-labor,single,high.school,no,no,no,cellular,may,thu,122,2,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,no
50,skilled-labor,married,university.degree,no,no,no,cellular,jul,fri,146,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
32,white-collar,single,high.school,no,yes,no,telephone,jul,fri,143,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
47,white-collar,married,professional.course,no,no,no,telephone,jun,mon,317,6,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,no
32,white-collar,single,university.degree,no,no,no,cellular,mar,mon,93,2,1,failure,-1.8,92.843,-50.0,1.703,5099.1,0,no
68,not-working,single,university.degree,no,yes,no,cellular,sep,fri,139,1,0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,0,no
32,skilled-labor,single,high.school,no,yes,no,cellular,may,wed,53,1,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,no
49,white-collar,married,university.degree,no,yes,no,cellular,apr,fri,58,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,no
40,skilled-labor,single,professional.course,no,yes,no,cellular,apr,mon,430,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,no
33,blue-collar,married,professional.course,no,no,no,cellular,may,thu,119,2,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,no
49,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,tue,495,3,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,no
57,skilled-labor,divorced,basic.4y,no,no,no,cellular,may,thu,161,6,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
32,skilled-labor,divorced,professional.course,no,no,no,cellular,nov,tue,288,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,no
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,720,1,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,1,no
31,white-collar,single,high.school,no,no,no,telephone,may,tue,35,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
28,skilled-labor,single,professional.course,no,no,no,cellular,jul,wed,76,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,no
28,white-collar,single,high.school,no,yes,no,cellular,may,tue,116,2,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,no
25,not-working,single,high.school,no,no,no,telephone,nov,tue,345,2,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,0,no
38,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,218,1,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,no
36,skilled-labor,married,professional.course,no,no,no,telephone,jun,mon,183,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
25,white-collar,married,high.school,no,no,yes,telephone,may,tue,125,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
33,self-employed,married,university.degree,no,no,yes,telephone,jun,thu,166,2,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,no
28,skilled-labor,single,professional.course,no,yes,no,telephone,may,wed,185,1,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,no
31,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,42,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
26,skilled-labor,married,basic.6y,no,no,no,telephone,jun,mon,123,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
32,skilled-labor,single,professional.course,no,yes,no,cellular,jul,thu,128,1,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
47,white-collar,married,professional.course,no,yes,no,cellular,apr,fri,239,2,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,no
56,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,wed,1265,3,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,no
37,skilled-labor,single,professional.course,no,yes,no,cellular,may,thu,56,2,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,no
35,white-collar,married,university.degree,no,yes,no,telephone,may,fri,698,9,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,no
30,self-employed,single,university.degree,no,no,no,telephone,may,fri,510,5,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,no
36,self-employed,married,basic.9y,no,yes,yes,cellular,may,tue,731,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,1,no
31,not-working,single,high.school,no,yes,yes,cellular,nov,tue,107,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,no
41,white-collar,divorced,university.degree,no,yes,no,cellular,nov,mon,479,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,no
57,not-working,single,high.school,no,no,no,telephone,may,mon,166,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
35,white-collar,married,basic.9y,no,yes,no,cellular,nov,mon,171,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,no
38,skilled-labor,single,university.degree,no,yes,no,cellular,may,mon,12,13,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,no
56,blue-collar,married,university.degree,no,yes,no,cellular,apr,mon,148,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,no
46,white-collar,married,basic.9y,no,yes,no,cellular,nov,fri,996,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,no
56,skilled-labor,single,university.degree,no,yes,no,telephone,jun,wed,308,1,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,no
34,white-collar,single,professional.course,no,yes,no,cellular,nov,tue,400,2,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,no
33,self-employed,married,university.degree,no,yes,no,telephone,oct,tue,454,1,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1,no
35,white-collar,married,high.school,no,no,yes,telephone,may,mon,208,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
58,white-collar,married,basic.4y,no,no,no,cellular,nov,fri,505,7,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,no
52,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,160,1,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,no
28,skilled-labor,single,high.school,no,yes,yes,telephone,may,fri,386,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,no
31,skilled-labor,single,basic.6y,no,yes,no,telephone,may,fri,386,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
33,white-collar,single,university.degree,no,yes,yes,cellular,may,fri,1024,3,1,failure,-1.8,92.893,-46.2,1.313,5099.1,1,no
37,skilled-labor,single,university.degree,no,yes,no,telephone,may,tue,749,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
34,white-collar,married,university.degree,no,yes,no,cellular,may,mon,74,2,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,no
55,blue-collar,married,basic.4y,no,yes,yes,telephone,may,wed,1101,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
34,white-collar,married,high.school,no,yes,no,telephone,aug,mon,80,7,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,no
43,white-collar,single,high.school,no,no,yes,telephone,may,wed,171,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
50,blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,455,4,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,no
36,white-collar,married,professional.course,no,no,no,telephone,jun,wed,211,17,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,no
26,white-collar,single,university.degree,no,no,no,cellular,nov,fri,528,3,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,1,no
60,not-working,married,basic.4y,no,yes,no,cellular,oct,mon,1020,1,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,0,no
40,white-collar,married,university.degree,no,yes,no,telephone,may,thu,345,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,no
33,skilled-labor,married,high.school,no,yes,no,cellular,jul,tue,820,4,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,no
30,skilled-labor,single,professional.course,no,yes,yes,cellular,jul,mon,111,2,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,no
42,skilled-labor,married,basic.6y,no,yes,no,telephone,may,thu,178,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
42,white-collar,married,high.school,no,yes,no,cellular,aug,tue,671,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,no
31,white-collar,married,university.degree,no,yes,no,cellular,aug,thu,80,1,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,no
31,white-collar,divorced,high.school,no,no,no,cellular,may,thu,145,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
34,skilled-labor,married,high.school,no,yes,no,telephone,jun,mon,76,3,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,no
34,white-collar,married,basic.9y,no,yes,no,cellular,may,fri,152,1,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,no
45,white-collar,married,basic.9y,no,yes,no,cellular,may,thu,165,1,3,failure,-1.8,93.876,-40.0,0.692,5008.7,0,no
41,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,74,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
58,not-working,married,basic.4y,no,no,yes,cellular,jul,tue,52,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,no
26,skilled-labor,married,basic.6y,no,yes,no,telephone,may,fri,138,1,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,no
27,white-collar,single,university.degree,no,yes,no,cellular,aug,fri,177,2,0,nonexistent,-1.7,94.027,-38.3,0.905,4991.6,1,no
48,white-collar,single,university.degree,no,no,no,cellular,jul,tue,196,4,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,no
52,white-collar,divorced,university.degree,no,no,no,cellular,may,wed,451,1,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,no
31,skilled-labor,married,professional.course,no,no,no,telephone,may,wed,89,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
49,skilled-labor,married,university.degree,no,yes,no,cellular,nov,thu,91,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,no
28,skilled-labor,married,high.school,no,no,no,cellular,jul,tue,262,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
48,white-collar,married,basic.9y,no,no,no,cellular,may,fri,311,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,no
58,white-collar,divorced,university.degree,no,yes,no,telephone,may,wed,365,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
32,blue-collar,married,basic.6y,no,no,no,telephone,jul,mon,176,6,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,no
58,white-collar,married,high.school,no,yes,no,cellular,may,fri,67,1,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,no
47,white-collar,single,basic.9y,no,yes,yes,cellular,jul,thu,392,2,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,yes
33,white-collar,single,high.school,no,yes,no,cellular,apr,wed,507,3,0,nonexistent,-1.8,93.075,-47.1,1.372,5099.1,1,no
49,skilled-labor,married,high.school,no,no,no,cellular,aug,tue,91,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,no
30,blue-collar,single,basic.6y,no,yes,no,telephone,may,fri,72,3,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,no
36,skilled-labor,single,professional.course,no,yes,yes,cellular,aug,tue,127,3,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,no
44,blue-collar,single,basic.4y,no,no,no,telephone,jun,mon,128,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
34,skilled-labor,single,high.school,no,yes,no,telephone,nov,tue,251,4,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,no
31,skilled-labor,married,university.degree,no,yes,yes,cellular,aug,wed,156,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,no
42,skilled-labor,married,professional.course,no,yes,no,cellular,may,thu,251,3,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
35,skilled-labor,married,university.degree,no,no,no,cellular,apr,thu,270,2,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,1,no
41,white-collar,single,high.school,no,no,no,cellular,may,mon,18,4,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0,no
55,white-collar,married,basic.4y,no,no,no,cellular,jul,thu,134,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
28,skilled-labor,single,high.school,no,no,no,telephone,jun,tue,406,3,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
36,white-collar,married,university.degree,no,no,no,cellular,jun,mon,174,1,1,success,-2.9,92.963,-40.8,1.266,5076.2,1,yes
39,white-collar,married,high.school,no,no,yes,cellular,jul,thu,245,2,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
25,blue-collar,single,basic.4y,no,yes,yes,cellular,jul,tue,426,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
41,skilled-labor,divorced,basic.9y,no,no,no,telephone,jun,thu,147,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
